Model,Fold,Precision,Recall,F1,mAP50
yolov8n,1,66.6,63.6,65.1,67.3
yolov8n,2,67.9,63.4,65.6,66.6
yolov8n,3,70.4,63.7,66.9,67.7
yolov8n,4,69.2,65.4,67.2,68.7
yolov8n,5,66.3,65.6,65.9,67.3
yolov8n,MEAN,68.1,64.3,66.1,67.5
yolov8n,SD,1.7,1.1,0.9,0.8
yolov8s,1,67.0,70.2,68.6,70.5
yolov8s,2,71.6,68.1,69.8,71.1
yolov8s,3,72.4,68.0,70.1,72.7
yolov8s,4,71.9,67.9,69.8,72.4
yolov8s,5,75.8,66.8,71.0,72.1
yolov8s,MEAN,71.7,68.2,69.9,71.8
yolov8s,SD,3.1,1.2,0.9,0.9
yolo11n,1,63.6,62.8,63.2,65.2
yolo11n,2,68.4,62.1,65.1,65.5
yolo11n,3,67.4,61.6,64.4,65.6
yolo11n,4,67.5,64.7,66.1,66.9
yolo11n,5,67.4,61.7,64.4,65.1
yolo11n,MEAN,66.9,62.6,64.6,65.7
yolo11n,SD,1.9,1.3,1.1,0.7
yolo11s,1,68.6,66.3,67.4,70.0
yolo11s,2,68.4,70.4,69.4,70.3
yolo11s,3,70.6,67.0,68.8,71.5
yolo11s,4,73.3,68.4,70.8,72.8
yolo11s,5,72.7,67.1,69.8,70.9
yolo11s,MEAN,70.7,67.8,69.2,71.1
yolo11s,SD,2.3,1.6,1.3,1.1
yolo26n,1,65.8,63.8,64.8,67.2
yolo26n,2,65.3,63.6,64.4,66.6
yolo26n,3,69.0,64.3,66.6,69.5
yolo26n,4,71.9,62.4,66.8,69.1
yolo26n,5,66.0,66.1,66.0,68.8
yolo26n,MEAN,67.6,64.0,65.7,68.2
yolo26n,SD,2.8,1.3,1.1,1.3
yolo26s,1,71.3,68.7,70.0,73.2
yolo26s,2,72.1,68.6,70.3,73.9
yolo26s,3,72.1,70.1,71.1,75.4
yolo26s,4,72.7,71.7,72.2,75.8
yolo26s,5,73.6,70.8,72.2,75.7
yolo26s,MEAN,72.4,70.0,71.2,74.8
yolo26s,SD,0.9,1.3,1.0,1.2
