epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5242,1.44018,1.3938,1.04355,0.15537,0.32372,0.08229,0.03629,1.77334,56.5454,1.50849,0.00165017,0.00165017,0.0686469
2,40.1981,1.3994,1.07498,1.02783,0.58264,0.26135,0.2461,0.12829,1.67198,2.17828,1.20109,0.00328698,0.00328698,0.0369503
3,57.3672,1.38206,1.05993,1.01468,0.30578,0.52284,0.39037,0.21019,1.4428,1.44568,1.06594,0.0048938,0.0048938,0.00522383
4,74.4497,1.35725,1.01086,1.00675,0.36228,0.47908,0.40838,0.21343,1.51694,1.57984,1.12497,0.004865,0.004865,0.004865
5,91.7352,1.31062,0.96326,0.98519,0.40774,0.51001,0.47111,0.27488,1.21013,1.42185,0.99439,0.00482,0.00482,0.00482
6,108.713,1.28038,0.93788,0.97931,0.37034,0.55638,0.4758,0.2676,1.2707,1.00427,1.02481,0.004775,0.004775,0.004775
7,125.709,1.26221,0.93319,0.97008,0.44893,0.50737,0.46232,0.25267,1.37468,1.0437,1.04325,0.00473,0.00473,0.00473
8,142.754,1.21448,0.87902,0.95755,0.45944,0.50282,0.50827,0.29973,1.18671,0.91745,0.96815,0.004685,0.004685,0.004685
9,159.855,1.22624,0.86035,0.95124,0.5017,0.53036,0.53481,0.30606,1.22249,1.04527,0.97475,0.00464,0.00464,0.00464
10,177.305,1.18459,0.82551,0.94583,0.5356,0.49707,0.5335,0.30899,1.16125,0.87831,0.95832,0.004595,0.004595,0.004595
11,194.398,1.18349,0.82934,0.93687,0.55762,0.60131,0.59164,0.34582,1.11048,0.80762,0.94866,0.00455,0.00455,0.00455
12,211.577,1.16573,0.81166,0.93483,0.52,0.6065,0.59424,0.34173,1.08457,0.8544,0.92937,0.004505,0.004505,0.004505
13,228.909,1.14144,0.78181,0.93269,0.53679,0.53833,0.55938,0.33123,1.14607,0.96415,0.95342,0.00446,0.00446,0.00446
14,246.027,1.12483,0.78863,0.92198,0.57511,0.58185,0.58009,0.35185,1.04615,0.7866,0.922,0.004415,0.004415,0.004415
15,263.018,1.13237,0.78294,0.92334,0.61921,0.58467,0.60601,0.35855,1.08652,0.77964,0.93204,0.00437,0.00437,0.00437
16,280.123,1.12289,0.76771,0.9224,0.50464,0.62234,0.60657,0.35639,1.06353,0.85558,0.92429,0.004325,0.004325,0.004325
17,297.251,1.12119,0.75624,0.92109,0.64351,0.59968,0.64615,0.36434,1.11953,0.74835,0.93537,0.00428,0.00428,0.00428
18,314.852,1.11964,0.74936,0.92158,0.6244,0.6277,0.63158,0.37806,1.0449,0.73222,0.91028,0.004235,0.004235,0.004235
19,332.11,1.12056,0.75994,0.92307,0.63755,0.62415,0.63442,0.37404,1.02575,0.71038,0.90626,0.00419,0.00419,0.00419
20,349.196,1.0877,0.74214,0.91567,0.65582,0.61641,0.64835,0.40056,1.01089,0.69427,0.90755,0.004145,0.004145,0.004145
21,366.459,1.08143,0.7172,0.90848,0.62129,0.663,0.67222,0.39855,1.0032,0.70097,0.89718,0.0041,0.0041,0.0041
22,383.494,1.0704,0.71165,0.9013,0.63149,0.61898,0.64047,0.382,1.00286,0.69599,0.90578,0.004055,0.004055,0.004055
23,401.027,1.07437,0.71735,0.90461,0.62272,0.60475,0.60942,0.36054,1.03244,0.73684,0.90109,0.00401,0.00401,0.00401
24,418.26,1.07491,0.71004,0.90253,0.67896,0.64715,0.66774,0.40286,0.98943,0.66284,0.89081,0.003965,0.003965,0.003965
25,435.494,1.05961,0.7021,0.90338,0.67901,0.57474,0.64509,0.38003,1.06488,0.72636,0.92573,0.00392,0.00392,0.00392
26,452.573,1.06721,0.70861,0.90402,0.64354,0.6218,0.67478,0.40447,0.97624,0.69182,0.88555,0.003875,0.003875,0.003875
27,469.786,1.04403,0.70443,0.89661,0.5453,0.62838,0.63324,0.37151,1.06919,0.8446,0.92802,0.00383,0.00383,0.00383
28,486.988,1.04181,0.69083,0.89975,0.69534,0.67533,0.69566,0.40353,1.01257,0.66964,0.90522,0.003785,0.003785,0.003785
29,504.185,1.02613,0.67605,0.89655,0.60954,0.64412,0.64288,0.39138,0.99377,0.67428,0.89652,0.00374,0.00374,0.00374
30,521.395,1.04611,0.67718,0.90198,0.66277,0.6573,0.68543,0.41398,0.95998,0.65898,0.88474,0.003695,0.003695,0.003695
31,538.53,1.03902,0.67719,0.89759,0.63233,0.60284,0.66474,0.40217,0.98999,0.68403,0.90144,0.00365,0.00365,0.00365
32,555.756,1.03232,0.67247,0.89418,0.69915,0.65484,0.69399,0.42065,0.95721,0.64446,0.88873,0.003605,0.003605,0.003605
33,572.92,1.00227,0.64892,0.8862,0.64251,0.65112,0.69175,0.42227,0.98357,0.69495,0.89497,0.00356,0.00356,0.00356
34,590.063,1.0227,0.66448,0.88905,0.67395,0.67582,0.69699,0.40675,0.9748,0.65927,0.88441,0.003515,0.003515,0.003515
35,607.126,1.02861,0.65939,0.89161,0.69455,0.66523,0.69707,0.43641,0.94441,0.63594,0.88127,0.00347,0.00347,0.00347
36,624.424,1.00461,0.63502,0.88364,0.62333,0.67541,0.7008,0.43469,0.98036,0.64505,0.89098,0.003425,0.003425,0.003425
37,641.518,1.00571,0.64053,0.88605,0.66456,0.65105,0.68184,0.42042,0.97711,0.64435,0.88472,0.00338,0.00338,0.00338
38,658.718,1.01092,0.65001,0.89169,0.70428,0.67369,0.71145,0.4345,0.94118,0.62859,0.88321,0.003335,0.003335,0.003335
39,675.934,0.99761,0.6579,0.88514,0.66792,0.69327,0.70699,0.4314,0.93141,0.66078,0.87421,0.00329,0.00329,0.00329
40,693.266,0.983,0.62456,0.88143,0.67017,0.67332,0.69527,0.42972,0.92482,0.61006,0.87056,0.003245,0.003245,0.003245
41,710.407,0.98134,0.61582,0.88152,0.68996,0.68552,0.70721,0.43976,0.93482,0.62981,0.88756,0.0032,0.0032,0.0032
42,727.61,0.99639,0.6354,0.88221,0.70107,0.67212,0.71218,0.44059,0.9357,0.62071,0.88051,0.003155,0.003155,0.003155
43,744.768,0.98798,0.62546,0.88288,0.63722,0.6996,0.71122,0.44172,0.92935,0.626,0.87372,0.00311,0.00311,0.00311
44,761.916,0.98778,0.62386,0.88191,0.68738,0.6481,0.69436,0.42722,0.94504,0.64947,0.88493,0.003065,0.003065,0.003065
45,779.206,0.96732,0.618,0.87606,0.69003,0.67964,0.71104,0.44877,0.9252,0.61056,0.87509,0.00302,0.00302,0.00302
46,796.274,0.97399,0.6085,0.87835,0.65707,0.70555,0.71445,0.44788,0.91326,0.6008,0.87192,0.002975,0.002975,0.002975
47,813.478,0.97027,0.61174,0.87685,0.69988,0.68835,0.71478,0.43705,0.93812,0.61448,0.87787,0.00293,0.00293,0.00293
48,830.77,0.96354,0.60827,0.87355,0.70477,0.67048,0.71721,0.44005,0.9678,0.62141,0.88812,0.002885,0.002885,0.002885
49,848.203,0.96089,0.59619,0.87448,0.68526,0.70814,0.73252,0.45951,0.93617,0.60794,0.87635,0.00284,0.00284,0.00284
50,865.301,0.95615,0.60194,0.87246,0.69882,0.68738,0.72599,0.46108,0.91263,0.57609,0.87925,0.002795,0.002795,0.002795
51,882.618,0.94232,0.5837,0.87334,0.71085,0.67299,0.72354,0.45846,0.90772,0.587,0.87113,0.00275,0.00275,0.00275
52,899.873,0.96958,0.59415,0.87834,0.65654,0.70634,0.71164,0.433,0.93888,0.65139,0.87762,0.002705,0.002705,0.002705
53,917.63,0.95305,0.58577,0.87223,0.7339,0.6836,0.73573,0.44868,0.93419,0.57958,0.87833,0.00266,0.00266,0.00266
54,934.788,0.92891,0.57638,0.87121,0.68506,0.73462,0.7372,0.46425,0.89937,0.5869,0.87109,0.002615,0.002615,0.002615
55,951.966,0.93176,0.57242,0.86525,0.71874,0.71207,0.74816,0.46503,0.89819,0.56565,0.86296,0.00257,0.00257,0.00257
56,969.269,0.9359,0.58016,0.86435,0.76052,0.68049,0.73556,0.4525,0.92302,0.58357,0.8719,0.002525,0.002525,0.002525
57,986.675,0.92936,0.57337,0.86805,0.68102,0.69894,0.72691,0.46559,0.90986,0.56202,0.88031,0.00248,0.00248,0.00248
58,1004.09,0.94265,0.58386,0.87172,0.71777,0.68601,0.72752,0.45353,0.93416,0.58289,0.87986,0.002435,0.002435,0.002435
59,1021.16,0.93407,0.5731,0.87018,0.70947,0.67857,0.73079,0.45367,0.90845,0.5816,0.86663,0.00239,0.00239,0.00239
60,1038.32,0.92777,0.57614,0.86326,0.66231,0.70045,0.71986,0.45257,0.90696,0.58034,0.86796,0.002345,0.002345,0.002345
61,1055.59,0.92543,0.57322,0.86756,0.71961,0.68244,0.7373,0.47013,0.90015,0.58227,0.86406,0.0023,0.0023,0.0023
62,1072.83,0.909,0.55654,0.86206,0.71947,0.71395,0.75046,0.47816,0.87776,0.55811,0.8556,0.002255,0.002255,0.002255
63,1090.08,0.90131,0.54851,0.86191,0.69326,0.72259,0.7536,0.47207,0.89912,0.57711,0.86186,0.00221,0.00221,0.00221
64,1107.31,0.91742,0.55675,0.86109,0.72718,0.70935,0.73047,0.4699,0.87949,0.56261,0.85778,0.002165,0.002165,0.002165
65,1125.26,0.91387,0.55089,0.86191,0.71456,0.6789,0.73422,0.47284,0.87222,0.5608,0.85861,0.00212,0.00212,0.00212
66,1142.47,0.90751,0.55205,0.86279,0.6849,0.71825,0.74419,0.46805,0.88858,0.56449,0.8641,0.002075,0.002075,0.002075
67,1159.64,0.91934,0.55455,0.8649,0.74787,0.67851,0.74155,0.4645,0.91743,0.58853,0.86863,0.00203,0.00203,0.00203
68,1176.82,0.9165,0.55432,0.86506,0.71286,0.70694,0.74427,0.4738,0.87965,0.54579,0.86221,0.001985,0.001985,0.001985
69,1194.08,0.90461,0.54732,0.86199,0.68921,0.71343,0.74036,0.47957,0.86378,0.55173,0.85178,0.00194,0.00194,0.00194
70,1211.28,0.90406,0.5427,0.85954,0.74752,0.71497,0.76237,0.47914,0.88667,0.55523,0.86661,0.001895,0.001895,0.001895
71,1229.08,0.8993,0.53424,0.85967,0.73006,0.71884,0.75921,0.48644,0.87231,0.54412,0.86328,0.00185,0.00185,0.00185
72,1246.34,0.89036,0.53792,0.86012,0.71775,0.73741,0.76202,0.49259,0.87756,0.54114,0.85916,0.001805,0.001805,0.001805
73,1263.86,0.8987,0.53891,0.85729,0.73592,0.70385,0.76368,0.47701,0.89284,0.55211,0.86518,0.00176,0.00176,0.00176
74,1280.98,0.88865,0.53851,0.85684,0.76281,0.68818,0.75426,0.48352,0.87617,0.54285,0.85852,0.001715,0.001715,0.001715
75,1298.41,0.87836,0.52821,0.85594,0.75084,0.72159,0.76393,0.49393,0.86106,0.54014,0.85715,0.00167,0.00167,0.00167
