epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.585,2.01959,2.37768,0.00526,0.37493,0.14903,0.23455,0.10662,2.00861,2.55793,0.00756,0.00165017,0.00165017,0.0686469
2,45.9978,1.97136,1.55096,0.00477,0.3504,0.39148,0.32612,0.17335,1.88181,1.56968,0.00691,0.00328698,0.00328698,0.0369503
3,65.7554,1.93539,1.42278,0.0045,0.38489,0.4456,0.34342,0.17549,1.88506,1.59123,0.00717,0.0048938,0.0048938,0.00522383
4,85.6628,1.90594,1.41794,0.00445,0.48409,0.46608,0.43169,0.22553,1.83265,1.34423,0.00646,0.004865,0.004865,0.004865
5,105.633,1.88425,1.33759,0.00429,0.42194,0.49431,0.42466,0.22626,1.7855,1.4225,0.00683,0.00482,0.00482,0.00482
6,125.383,1.86482,1.30871,0.00431,0.48965,0.46851,0.46371,0.25364,1.76802,1.4122,0.00685,0.004775,0.004775,0.004775
7,145.185,1.86051,1.2996,0.00427,0.47746,0.52764,0.48219,0.26459,1.71644,1.33188,0.00614,0.00473,0.00473,0.00473
8,164.805,1.82684,1.23931,0.00408,0.50025,0.51484,0.49662,0.27904,1.72855,1.27561,0.00589,0.004685,0.004685,0.004685
9,184.788,1.82977,1.21071,0.00402,0.57249,0.52143,0.52977,0.28655,1.81144,1.1754,0.0065,0.00464,0.00464,0.00464
10,204.53,1.81694,1.18212,0.00407,0.56042,0.53407,0.53761,0.28621,1.72294,1.17203,0.0058,0.004595,0.004595,0.004595
11,224.008,1.82538,1.19846,0.00391,0.58619,0.52251,0.55103,0.31342,1.61427,1.12016,0.00509,0.00455,0.00455,0.00455
12,243.789,1.75788,1.18537,0.00382,0.58068,0.55215,0.56836,0.32586,1.60241,1.13487,0.00519,0.004505,0.004505,0.004505
13,263.951,1.7784,1.17264,0.00388,0.55163,0.52564,0.53954,0.29463,1.58941,1.347,0.00526,0.00446,0.00446,0.00446
14,283.827,1.75646,1.12902,0.00373,0.57569,0.59396,0.58523,0.31898,1.63656,1.01734,0.00516,0.004415,0.004415,0.004415
15,303.979,1.74927,1.16058,0.00376,0.57958,0.55341,0.57457,0.32775,1.58967,1.15053,0.00533,0.00437,0.00437,0.00437
16,324.315,1.73828,1.13997,0.00372,0.55747,0.55809,0.58257,0.32611,1.60225,1.15687,0.00526,0.004325,0.004325,0.004325
17,344.323,1.72936,1.12872,0.00369,0.6136,0.56321,0.59743,0.33396,1.59959,1.09827,0.0051,0.00428,0.00428,0.00428
18,364.076,1.72559,1.12425,0.00377,0.59907,0.59474,0.62011,0.37479,1.44684,0.98623,0.00456,0.004235,0.004235,0.004235
19,383.921,1.72188,1.12416,0.00368,0.62512,0.5451,0.56969,0.32252,1.54958,1.07478,0.00492,0.00419,0.00419,0.00419
20,403.557,1.70128,1.0848,0.00362,0.60984,0.57473,0.59947,0.34398,1.53593,1.00827,0.0051,0.004145,0.004145,0.004145
21,423.484,1.689,1.06207,0.00354,0.61515,0.58973,0.62113,0.35462,1.54373,0.96238,0.00498,0.0041,0.0041,0.0041
22,443.358,1.71409,1.08879,0.00359,0.59671,0.5961,0.60332,0.34434,1.52895,1.06962,0.0049,0.004055,0.004055,0.004055
23,463.15,1.68145,1.0757,0.00353,0.61694,0.58918,0.6047,0.34689,1.53484,0.97524,0.00509,0.00401,0.00401,0.00401
24,483.253,1.66578,1.048,0.00349,0.63901,0.60229,0.62863,0.35599,1.57652,1.00644,0.00531,0.003965,0.003965,0.003965
25,503.266,1.68757,1.05095,0.00354,0.69659,0.55165,0.62483,0.36385,1.4879,0.95089,0.00461,0.00392,0.00392,0.00392
26,523.775,1.67181,1.04716,0.00349,0.59969,0.58204,0.62491,0.37102,1.42995,0.97866,0.00439,0.003875,0.003875,0.003875
27,545.691,1.63751,1.02728,0.00338,0.65103,0.56104,0.62541,0.3648,1.45825,0.99922,0.0044,0.00383,0.00383,0.00383
28,570.575,1.64455,1.02539,0.00343,0.62066,0.61774,0.64009,0.37127,1.49483,0.97243,0.00472,0.003785,0.003785,0.003785
29,591.758,1.63108,1.02331,0.00343,0.60755,0.62363,0.635,0.37276,1.46727,0.93348,0.00458,0.00374,0.00374,0.00374
30,611.682,1.65415,1.03215,0.00342,0.59844,0.60562,0.62248,0.37076,1.41878,1.06001,0.00435,0.003695,0.003695,0.003695
31,631.549,1.634,1.01993,0.00332,0.59593,0.63514,0.64679,0.36094,1.53253,1.01096,0.00497,0.00365,0.00365,0.00365
32,651.323,1.62135,1.01998,0.0033,0.62378,0.59279,0.66474,0.38903,1.43443,0.93164,0.0044,0.003605,0.003605,0.003605
33,671.334,1.59666,1.00909,0.00324,0.65,0.59908,0.64743,0.37603,1.48619,1.06839,0.00454,0.00356,0.00356,0.00356
34,691,1.62804,1.01708,0.00332,0.6116,0.63791,0.66095,0.38512,1.47392,0.93914,0.00471,0.003515,0.003515,0.003515
35,710.749,1.63119,1.00217,0.00328,0.72163,0.57896,0.67226,0.39125,1.48425,0.89717,0.00479,0.00347,0.00347,0.00347
36,731.041,1.61716,0.97524,0.00324,0.65777,0.63251,0.67546,0.40391,1.44848,0.90541,0.00469,0.003425,0.003425,0.003425
37,750.854,1.60536,0.96642,0.00322,0.65884,0.63833,0.65905,0.38573,1.46931,0.89597,0.00451,0.00338,0.00338,0.00338
38,770.293,1.57932,0.9795,0.00327,0.62539,0.5861,0.64348,0.38295,1.45502,0.99636,0.00456,0.003335,0.003335,0.003335
39,790.201,1.62075,0.99283,0.00328,0.68534,0.60669,0.6771,0.3975,1.43711,0.86899,0.00435,0.00329,0.00329,0.00329
40,810.117,1.58199,0.97251,0.00321,0.64236,0.62929,0.65614,0.39587,1.39954,0.94265,0.00429,0.003245,0.003245,0.003245
41,829.845,1.57167,0.96551,0.00311,0.66573,0.6151,0.66291,0.38879,1.42679,0.90218,0.00434,0.0032,0.0032,0.0032
42,849.725,1.58095,0.96945,0.00318,0.64806,0.62024,0.66256,0.39597,1.42348,0.88475,0.00434,0.003155,0.003155,0.003155
43,869.427,1.57902,0.95454,0.00314,0.6263,0.66067,0.66799,0.40348,1.39205,0.8472,0.00447,0.00311,0.00311,0.00311
44,889.365,1.5658,0.97413,0.00308,0.6857,0.60762,0.68324,0.41802,1.36063,0.9457,0.00408,0.003065,0.003065,0.003065
45,909.336,1.56849,0.95719,0.00314,0.72105,0.59882,0.67432,0.41076,1.40099,0.8663,0.00438,0.00302,0.00302,0.00302
46,929.329,1.56759,0.94789,0.00311,0.72173,0.59228,0.693,0.41502,1.40673,0.86043,0.00428,0.002975,0.002975,0.002975
47,948.974,1.54311,0.93006,0.00304,0.70104,0.63005,0.69591,0.41705,1.36602,0.83151,0.0041,0.00293,0.00293,0.00293
48,969.104,1.56535,0.92991,0.00308,0.69219,0.62244,0.6892,0.41731,1.40185,0.84892,0.00443,0.002885,0.002885,0.002885
49,989.052,1.56687,0.92561,0.00304,0.73397,0.61474,0.71136,0.4249,1.36907,0.87637,0.00419,0.00284,0.00284,0.00284
50,1008.86,1.53557,0.92358,0.003,0.71887,0.62025,0.69787,0.42625,1.39516,0.82382,0.0043,0.002795,0.002795,0.002795
51,1028.81,1.52939,0.92322,0.00302,0.70393,0.64064,0.7038,0.42866,1.37181,0.81809,0.00415,0.00275,0.00275,0.00275
52,1048.75,1.54821,0.92475,0.00305,0.68895,0.64808,0.69785,0.42453,1.35782,0.91292,0.00432,0.002705,0.002705,0.002705
