epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8371,1.52741,1.57679,1.04661,0.37861,0.311,0.29745,0.15108,1.44564,1.66303,1.05311,0.00165017,0.00165017,0.0686469
2,33.0508,1.46264,1.13944,1.02918,0.34743,0.37845,0.32358,0.17866,1.47084,1.26142,1.07056,0.00328698,0.00328698,0.0369503
3,46.7971,1.42948,1.0821,1.01585,0.43459,0.44889,0.40092,0.21093,1.42035,1.11652,1.03599,0.0048938,0.0048938,0.00522383
4,61.4591,1.37911,1.03157,0.999,0.32774,0.44085,0.34787,0.15778,1.70761,1.45155,1.11932,0.004865,0.004865,0.004865
5,75.8557,1.37748,1.02226,0.99326,0.41758,0.52322,0.47811,0.27427,1.25152,1.01039,0.98073,0.00482,0.00482,0.00482
6,90.315,1.33546,0.97976,0.98471,0.45878,0.48992,0.46563,0.26592,1.28611,1.03868,1.00146,0.004775,0.004775,0.004775
7,104.721,1.30972,0.94759,0.97431,0.4944,0.50381,0.48461,0.27188,1.25801,1.08568,0.97931,0.00473,0.00473,0.00473
8,120.349,1.2996,0.93144,0.97116,0.48416,0.52329,0.51025,0.28277,1.22345,0.98804,0.9721,0.004685,0.004685,0.004685
9,134.211,1.28423,0.90613,0.9635,0.49653,0.51264,0.50024,0.28165,1.21772,0.90173,0.95669,0.00464,0.00464,0.00464
10,147.955,1.24569,0.86727,0.95517,0.42572,0.45861,0.43933,0.24445,1.35856,1.14183,1.03852,0.004595,0.004595,0.004595
11,161.637,1.25605,0.87592,0.94964,0.54302,0.55943,0.55847,0.32377,1.12414,0.85658,0.92961,0.00455,0.00455,0.00455
12,175.453,1.21858,0.84361,0.94142,0.54852,0.54456,0.55691,0.32093,1.14285,0.95791,0.93625,0.004505,0.004505,0.004505
13,189.43,1.21339,0.83117,0.94697,0.52126,0.56688,0.55271,0.31823,1.14126,0.84625,0.93689,0.00446,0.00446,0.00446
14,203.171,1.21175,0.84051,0.93495,0.6018,0.5378,0.56157,0.32338,1.20651,0.853,0.9638,0.004415,0.004415,0.004415
