epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2754,1.40004,1.24949,1.0394,0.25998,0.32456,0.21747,0.10546,1.80282,2.24544,1.24352,0.00165017,0.00165017,0.0686469
2,39.5002,1.38815,1.04517,1.02961,0.43771,0.4443,0.40428,0.21898,1.37149,1.22968,1.06858,0.00328698,0.00328698,0.0369503
3,56.5994,1.36287,1.03377,1.02085,0.4691,0.48266,0.45361,0.24985,1.36924,1.08491,1.05911,0.0048938,0.0048938,0.00522383
4,73.4628,1.30529,0.95119,1.00792,0.53805,0.44879,0.48001,0.24082,1.41335,1.09387,1.06054,0.004865,0.004865,0.004865
5,91.0444,1.29855,0.93342,0.98817,0.45805,0.49396,0.49416,0.2769,1.2113,1.26374,0.99331,0.00482,0.00482,0.00482
6,107.991,1.26733,0.91954,0.98466,0.50753,0.55265,0.54255,0.3097,1.15304,0.9854,0.96931,0.004775,0.004775,0.004775
7,124.926,1.24181,0.86609,0.97764,0.53006,0.54473,0.53986,0.30223,1.22334,0.89881,0.99293,0.00473,0.00473,0.00473
8,141.849,1.20222,0.84623,0.96359,0.66646,0.51884,0.57977,0.34646,1.10223,0.7962,0.95726,0.004685,0.004685,0.004685
9,158.858,1.20108,0.82763,0.95326,0.56812,0.5557,0.56534,0.32142,1.1622,0.89834,0.96636,0.00464,0.00464,0.00464
10,175.917,1.16992,0.79671,0.94628,0.62034,0.54281,0.57842,0.32974,1.13124,0.9119,0.95077,0.004595,0.004595,0.004595
11,192.8,1.17638,0.80473,0.94409,0.62484,0.59156,0.62218,0.35904,1.06169,0.81059,0.93542,0.00455,0.00455,0.00455
12,210,1.149,0.77914,0.93642,0.67993,0.55193,0.62802,0.3699,1.07899,0.81355,0.94222,0.004505,0.004505,0.004505
13,227.041,1.1531,0.78149,0.94319,0.54228,0.60672,0.60958,0.34742,1.11384,0.96087,0.94394,0.00446,0.00446,0.00446
14,244.027,1.11793,0.76236,0.92783,0.6293,0.61356,0.62221,0.36693,1.01981,0.73338,0.91384,0.004415,0.004415,0.004415
